RunID	NMI	ARI	ACC	Precision	Recall	F1	Example Coverage	Reference K	K	# Intents	# Utterances	# Utterances per Intent
kmeans_all-mpnet-base-v2	72.8	41.6	60.2	65.6	76.3	70.6	86.5	22.0	26.0	42.0	3449.0	82.1
kmeans_glove-840b-300d	50.6	24.0	32.3	40.1	64.0	49.3	66.8	22.0	29.0	49.0	3449.0	70.4
