RunID	Dataset	Experiments Path	NMI	ARI	ACC	Precision	Recall	F1	Example Coverage	Reference K	K	# Intents	# Utterances	# Utterances per Intent
kmeans_all-mpnet-base-v2	dstc11/development	results/open-intent-induction-baselines/development/kmeans_all-mpnet-base-v2	72.77	41.59	60.24	65.61	76.34	70.57	86.53	22.00	26.00	42	3449	82.12
kmeans_glove-840b-300d	dstc11/development	results/open-intent-induction-baselines/development/kmeans_glove-840b-300d	50.58	24.03	32.31	40.09	63.96	49.29	66.81	22.00	29.00	49	3449	70.39
