ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
54.52282157676349,40.9966338825416,61.97960554699138,0.1725528,DSTC11_development,SCCL,0,128,1e-05,26
49.62655601659751,35.78111371035455,62.04720637390908,0.1795286834239959,DSTC11_development,SCCL,1,128,1e-05,38
50.37344398340249,37.71365489244406,60.55445291497254,0.1810039579868316,DSTC11_development,SCCL,2,128,1e-05,31
54.52282157676349,40.12125154671391,60.79607799463093,0.1791014820337295,DSTC11_development,SCCL,3,128,1e-05,21
51.6182572614108,37.68105625235368,60.42267652089003,0.1776431798934936,DSTC11_development,SCCL,4,128,1e-05,26
54.190871369294605,40.17411529252744,62.06150589846382,0.1800089925527572,DSTC11_development,SCCL,10,128,1e-05,29
53.60995850622407,39.01360851215351,61.37436852049596,0.1737453639507293,DSTC11_development,SCCL,5,128,1e-05,23
46.63900414937759,33.01836815101334,61.14179229267693,0.1737066060304641,DSTC11_development,SCCL,11,128,1e-05,42
53.27800829875519,38.58503279841617,62.89946551239735,0.1774295270442962,DSTC11_development,SCCL,12,128,1e-05,32
52.94605809128631,40.85645117446873,62.30125073690833,0.1761000752449035,DSTC11_development,SCCL,13,128,1e-05,29
52.11618257261412,39.25506489342377,60.42520063459808,0.1726724058389663,DSTC11_development,SCCL,14,128,1e-05,23
50.20746887966805,36.60968622921252,59.42709664150594,0.174830213189125,DSTC11_development,SCCL,15,128,1e-05,25
50.12448132780083,37.61622350620245,60.04590673579225,0.17357869446277618,DSTC11_development,SCCL,0,128,1e-05,29
