ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
47.30290456431535,37.08154056764132,58.248189879490575,0.16577591,DSTC11_development,SCCL,0,128,1e-05,23
51.867219917012456,36.8594309365038,59.950493150923066,0.1668874025344848,DSTC11_development,SCCL,10,128,1e-05,29
54.6058091286307,40.68245495464891,62.33048412022464,0.1702955812215805,DSTC11_development,SCCL,0,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.170283168554306,DSTC11_development,SCCL,0,128,1e-05,26
50.62240663900415,38.76201597181437,60.488749376893566,0.1703763753175735,DSTC11_development,SCCL,1,128,1e-05,34
51.120331950207465,36.73773297786087,59.42902196664585,0.1656233072280883,DSTC11_development,SCCL,2,128,1e-05,28
50.53941908713693,36.41678525337824,60.11721511913262,0.1649617552757263,DSTC11_development,SCCL,3,128,1e-05,29
47.30290456431535,34.34261635790432,61.74685798645603,0.164648562669754,DSTC11_development,SCCL,4,128,1e-05,39
54.43983402489626,40.174766973320736,62.63732921313092,0.1705725640058517,DSTC11_development,SCCL,5,128,1e-05,24
54.6058091286307,40.68245495464891,62.33048412022464,0.1702932715415954,DSTC11_development,SCCL,0,128,1e-05,26
50.62240663900415,38.76201597181437,60.488749376893566,0.170377105474472,DSTC11_development,SCCL,1,128,1e-05,34
51.120331950207465,36.73773297786087,59.42902196664585,0.1656230986118316,DSTC11_development,SCCL,2,128,1e-05,28
50.29045643153527,36.58164339004218,60.019291238381335,0.1695447713136673,DSTC11_development,SCCL,3,128,1e-05,32
47.30290456431535,34.34261635790432,61.74685798645603,0.1646495461463928,DSTC11_development,SCCL,4,128,1e-05,39
48.79668049792531,34.78903340580833,58.79602398167035,0.1690697520971298,DSTC11_development,SCCL,5,128,1e-05,32
48.79668049792531,34.78903340580833,58.79602398167035,0.1690697073936462,DSTC11_development,SCCL,5,128,1e-05,32
54.6058091286307,40.68245495464891,62.33048412022464,0.1702909469604492,DSTC11_development,SCCL,0,128,1e-05,26
51.867219917012456,36.8594309365038,59.950493150923066,0.1668924987316131,DSTC11_development,SCCL,10,128,1e-05,29
47.30290456431535,35.28496023012068,56.43141989306958,0.1615249365568161,DSTC11_development,SCCL,11,128,1e-05,19
53.44398340248963,38.19078249821891,58.97528092111615,0.1615847796201706,DSTC11_development,SCCL,15,128,1e-05,26
54.6058091286307,40.68245495464891,62.33048412022464,0.1702938675880432,DSTC11_development,SCCL,0,128,1e-05,26
