ACC,ARI,NMI,SC,dataset,method,seed,train_batch_size,learning_rate,K
50.788381742738586,35.68716151314481,60.105691008977935,0.16694528,DSTC11_development,SCCL,0,128,1e-05,32
50.12448132780083,35.585593931611584,60.09086073768315,0.1661753505468368,DSTC11_development,SCCL,0,128,1e-05,32
54.6058091286307,40.68245495464891,62.33048412022464,0.1702830493450164,DSTC11_development,SCCL,0,128,1e-05,26
48.29875518672199,36.07214717018433,57.85399518393935,0.1702771931886673,DSTC11_development,SCCL,0,128,1e-05,25
54.6058091286307,40.68245495464891,62.33048412022464,0.170283168554306,DSTC11_development,SCCL,0,128,1e-05,26
47.30290456431535,34.723204704397745,56.49950690007041,0.1476643830537796,DSTC11_development,SCCL,0,128,1e-05,20
48.87966804979253,36.82520185250714,57.844500850386815,0.1643143445253372,DSTC11_development,SCCL,0,128,1e-05,22
50.45643153526971,37.05345029083171,60.73478440710996,0.1628201603889465,DSTC11_development,SCCL,0,128,1e-05,28
50.70539419087137,36.14841678158475,58.03611093828014,0.1635841578245163,DSTC11_development,SCCL,10,128,1e-05,22
49.46058091286307,37.23408668012803,57.8165987937563,0.1630229651927948,DSTC11_development,SCCL,11,128,1e-05,24
31.286307053941908,15.023732905606066,41.41459170129231,0.1481358557939529,DSTC11_development,SCCL,12,128,1e-05,5
50.12448132780083,35.08779104841891,57.03950457312386,0.1619346290826797,DSTC11_development,SCCL,13,128,1e-05,22
54.6058091286307,40.68245495464891,62.33048412022464,0.17028304934501648,DSTC11_development,SCCL,0,128,1e-05,26
