RunID	NMI	ARI	ACC	Precision	Recall	F1	Example Coverage	Reference K	K
kmeans_all-mpnet-base-v2	59.3	32.3	46.1	66.0	47.1	54.9	96.5	22.0	42.0
kmeans_glove-840b-300d	30.5	7.0	20.6	34.6	22.2	27.0	92.2	22.0	50.0
